iter	Accuracy	MultiClass
805	0.9528483681	0.1478988864
806	0.9527279297	0.1478051658
807	0.9527279297	0.1477409542
808	0.9526677105	0.1476725937
809	0.9527279297	0.1476327574
810	0.9528483681	0.1475797542
811	0.9527881489	0.1474621121
812	0.9527279297	0.147384989
813	0.9526677105	0.1472964242
814	0.9529688065	0.1471713316
815	0.953149464	0.1470326747
816	0.953149464	0.1469718791
817	0.9533903408	0.1469000804
818	0.95345056	0.1468231359
819	0.95345056	0.1467846824
820	0.9536312176	0.1466474605
821	0.953751656	0.1465526285
822	0.9538118752	0.1465008209
823	0.953751656	0.1463757784
824	0.953751656	0.1462772884
825	0.953751656	0.1461829383
826	0.953751656	0.1461170523
827	0.9539925328	0.1460100962
828	0.9538720944	0.145948149
829	0.953751656	0.1458531529
830	0.9539323136	0.1457614837
831	0.9539925328	0.1456784527
832	0.954052752	0.145651589
833	0.9539323136	0.1455658891
834	0.9538720944	0.145540123
835	0.9538118752	0.1454341109
836	0.9539323136	0.1453828312
837	0.9541129712	0.145300713
838	0.954052752	0.1452292328
839	0.9541129712	0.145142434
840	0.9541129712	0.1450873144
841	0.9542334096	0.1449618728
842	0.9542334096	0.1448585499
843	0.9544742864	0.1446935246
844	0.9544140672	0.1446413586
845	0.9544742864	0.1445096875
846	0.954353848	0.1444337479
847	0.9544742864	0.1443576622
848	0.9544140672	0.1442858833
849	0.9545345056	0.1441915629
850	0.9544742864	0.1440773274
851	0.9544742864	0.1440249563
852	0.9544742864	0.1439322609
853	0.9545345056	0.1438420162
854	0.9545345056	0.1437339133
855	0.9545947248	0.143680637
856	0.9545947248	0.1435809456
857	0.9545947248	0.1435177116
858	0.9545947248	0.1434542518
859	0.9545345056	0.1433849966
860	0.9545345056	0.1433178232
861	0.9545345056	0.1431097157
862	0.954654944	0.143011972
863	0.9545345056	0.1429063729
864	0.9544742864	0.1427849622
865	0.954654944	0.1427064365
866	0.954654944	0.1426137239
867	0.9547151632	0.1425467744
868	0.9547151632	0.1424946331
869	0.9545345056	0.1423682328
870	0.9544742864	0.1422397192
871	0.9544742864	0.1421918761
872	0.9545345056	0.1420840414
873	0.9545947248	0.1419294188
874	0.9545947248	0.1418616904
875	0.954654944	0.1418175766
876	0.9547151632	0.1417741035
877	0.9547151632	0.1417111418
878	0.9548356016	0.1416346594
879	0.9548356016	0.1415650981
880	0.95495604	0.1414383832
